iteration, eigindex, value, type
0,N/A,0,t
0,0,1255079.048900,A
1,0,2.498381,vr
1,0,0.000000,vi
1,1,1.572731,vr
1,1,0.990610,vi
1,2,1.572731,vr
1,2,-0.990610,vi
1,3,-0.868962,vr
1,3,1.157334,vi
1,4,-0.868962,vr
1,4,-1.157334,vi
1,5,-0.413532,vr
1,5,0.347353,vi
1,6,-0.413532,vr
1,6,-0.347353,vi
1,7,0.065468,vr
1,7,0.219802,vi
1,8,0.065468,vr
1,8,-0.219802,vi
1,9,0.076117,vr
1,9,0.000000,vi
1,N/A,1.419199,t
1,0,15.004781,A
2,0,1.156235,vr
2,0,1.779020,vi
2,1,1.156235,vr
2,1,-1.779020,vi
2,2,1.594575,vr
2,2,0.697979,vi
2,3,1.594575,vr
2,3,-0.697979,vi
2,4,-1.376060,vr
2,4,1.359247,vi
2,5,-1.376060,vr
2,5,-1.359247,vi
2,6,-0.196660,vr
2,6,1.416001,vi
2,7,-0.196660,vr
2,7,-1.416001,vi
2,8,-0.259254,vr
2,8,0.000000,vi
2,9,-0.749725,vr
2,9,0.000000,vi
2,N/A,2.941838,t
2,0,3.931212,A
3,0,-6.058141,vr
3,0,0.000000,vi
3,1,0.125617,vr
3,1,2.213222,vi
3,2,0.125617,vr
3,2,-2.213222,vi
3,3,-1.446413,vr
3,3,0.000000,vi
3,4,2.168909,vr
3,4,0.000000,vi
3,5,1.445774,vr
3,5,0.926302,vi
3,6,1.445774,vr
3,6,-0.926302,vi
3,7,-0.448456,vr
3,7,0.000000,vi
3,8,0.658229,vr
3,8,0.588828,vi
3,9,0.658229,vr
3,9,-0.588828,vi
3,N/A,4.303713,t
3,0,6.757550,A
4,0,0.200133,vr
4,0,4.388439,vi
4,1,0.200133,vr
4,1,-4.388439,vi
4,2,-3.470019,vr
4,2,0.000000,vi
4,3,2.850041,vr
4,3,0.000000,vi
4,4,-0.680568,vr
4,4,0.847342,vi
4,5,-0.680568,vr
4,5,-0.847342,vi
4,6,1.778285,vr
4,6,0.000000,vi
4,7,0.997773,vr
4,7,0.000000,vi
4,8,0.575600,vr
4,8,0.686020,vi
4,9,0.575600,vr
4,9,-0.686020,vi
4,N/A,5.854982,t
4,0,42.601196,A
5,0,0.251923,vr
5,0,4.652770,vi
5,1,0.251923,vr
5,1,-4.652770,vi
5,2,-4.606061,vr
5,2,0.000000,vi
5,3,-2.168228,vr
5,3,1.392580,vi
5,4,-2.168228,vr
5,4,-1.392580,vi
5,5,2.850057,vr
5,5,0.000000,vi
5,6,0.057520,vr
5,6,0.807705,vi
5,7,0.057520,vr
5,7,-0.807705,vi
5,8,0.193221,vr
5,8,0.000000,vi
5,9,1.199664,vr
5,9,0.000000,vi
5,N/A,7.459062,t
5,0,14.555292,A
6,0,0.946844,vr
6,0,4.692684,vi
6,1,0.946844,vr
6,1,-4.692684,vi
6,2,-3.064246,vr
6,2,2.297261,vi
6,3,-3.064246,vr
6,3,-2.297261,vi
6,4,3.511833,vr
6,4,0.000000,vi
6,5,-1.120171,vr
6,5,0.679653,vi
6,6,-1.120171,vr
6,6,-0.679653,vi
6,7,0.932226,vr
6,7,1.229146,vi
6,8,0.932226,vr
6,8,-1.229146,vi
6,9,1.012187,vr
6,9,0.000000,vi
6,N/A,8.745344,t
6,0,43.010229,A
7,0,0.115988,vr
7,0,4.317548,vi
7,1,0.115988,vr
7,1,-4.317548,vi
7,2,5.097352,vr
7,2,0.000000,vi
7,3,-4.571911,vr
7,3,0.000000,vi
7,4,-3.011495,vr
7,4,1.780827,vi
7,5,-3.011495,vr
7,5,-1.780827,vi
7,6,-2.759384,vr
7,6,0.000000,vi
7,7,3.294593,vr
7,7,0.000000,vi
7,8,0.349560,vr
7,8,0.000000,vi
7,9,0.791451,vr
7,9,0.000000,vi
7,N/A,10.318601,t
7,0,25.281604,A
8,0,1.000140,vr
8,0,4.739838,vi
8,1,1.000140,vr
8,1,-4.739838,vi
8,2,4.965460,vr
8,2,0.000000,vi
8,3,-2.192634,vr
8,3,2.713049,vi
8,4,-2.192634,vr
8,4,-2.713049,vi
8,5,-3.291345,vr
8,5,0.000000,vi
8,6,2.699112,vr
8,6,0.000000,vi
8,7,2.076500,vr
8,7,0.000000,vi
8,8,-0.351056,vr
8,8,1.026372,vi
8,9,-0.351056,vr
8,9,-1.026372,vi
8,N/A,11.681758,t
8,0,41.293127,A
9,0,-4.008649,vr
9,0,0.000000,vi
9,1,-2.227549,vr
9,1,3.443013,vi
9,2,-2.227549,vr
9,2,-3.443013,vi
9,3,0.042428,vr
9,3,4.081363,vi
9,4,0.042428,vr
9,4,-4.081363,vi
9,5,0.501688,vr
9,5,1.086298,vi
9,6,0.501688,vr
9,6,-1.086298,vi
9,7,4.494009,vr
9,7,0.000000,vi
9,8,2.133286,vr
9,8,0.000000,vi
9,9,3.239299,vr
9,9,0.000000,vi
9,N/A,13.051742,t
9,0,3.927411,A
10,0,0.830537,vr
10,0,5.033529,vi
10,1,0.830537,vr
10,1,-5.033529,vi
10,2,-3.247157,vr
10,2,1.600452,vi
10,3,-3.247157,vr
10,3,-1.600452,vi
10,4,-2.380860,vr
10,4,1.508939,vi
10,5,-2.380860,vr
10,5,-1.508939,vi
10,6,-2.278664,vr
10,6,0.000000,vi
10,7,3.668947,vr
10,7,0.945111,vi
10,8,3.668947,vr
10,8,-0.945111,vi
10,9,2.913019,vr
10,9,0.000000,vi
10,N/A,14.694890,t
10,0,47.348453,A
11,0,4.615605,vr
11,0,1.621337,vi
11,1,4.615605,vr
11,1,-1.621337,vi
11,2,1.260226,vr
11,2,4.672312,vi
11,3,1.260226,vr
11,3,-4.672312,vi
11,4,-1.825775,vr
11,4,3.623929,vi
11,5,-1.825775,vr
11,5,-3.623929,vi
11,6,-4.814342,vr
11,6,0.000000,vi
11,7,-2.849582,vr
11,7,0.000000,vi
11,8,1.175279,vr
11,8,0.000000,vi
11,9,-0.592148,vr
11,9,0.000000,vi
11,N/A,16.143614,t
11,0,13.481790,A
12,0,0.713967,vr
12,0,5.538182,vi
12,1,0.713967,vr
12,1,-5.538182,vi
12,2,-5.186806,vr
12,2,0.000000,vi
12,3,-1.700523,vr
12,3,3.783499,vi
12,4,-1.700523,vr
12,4,-3.783499,vi
12,5,4.202959,vr
12,5,0.807952,vi
12,6,4.202959,vr
12,6,-0.807952,vi
12,7,2.280598,vr
12,7,0.000000,vi
12,8,-2.038648,vr
12,8,0.503551,vi
12,9,-2.038648,vr
12,9,-0.503551,vi
12,N/A,17.470017,t
12,0,25.826735,A
13,0,1.202990,vr
13,0,5.005927,vi
13,1,1.202990,vr
13,1,-5.005927,vi
13,2,4.026629,vr
13,2,1.639022,vi
13,3,4.026629,vr
13,3,-1.639022,vi
13,4,2.414786,vr
13,4,0.000000,vi
13,5,-5.370480,vr
13,5,0.000000,vi
13,6,-2.450912,vr
13,6,3.245865,vi
13,7,-2.450912,vr
13,7,-3.245865,vi
13,8,-2.213295,vr
13,8,1.139206,vi
13,9,-2.213295,vr
13,9,-1.139206,vi
13,N/A,19.028673,t
13,0,22.073599,A
14,0,5.297352,vr
14,0,0.000000,vi
14,1,4.382156,vr
14,1,0.000000,vi
14,2,0.438633,vr
14,2,4.517858,vi
14,3,0.438633,vr
14,3,-4.517858,vi
14,4,-1.713550,vr
14,4,3.707799,vi
14,5,-1.713550,vr
14,5,-3.707799,vi
14,6,1.225584,vr
14,6,0.000000,vi
14,7,-1.483666,vr
14,7,0.000000,vi
14,8,-4.067973,vr
14,8,0.221790,vi
14,9,-4.067973,vr
14,9,-0.221790,vi
14,N/A,20.501700,t
14,0,3.653345,A
15,0,6.927698,vr
15,0,0.000000,vi
15,1,0.882710,vr
15,1,5.160488,vi
15,2,0.882710,vr
15,2,-5.160488,vi
15,3,3.064290,vr
15,3,1.228646,vi
15,4,3.064290,vr
15,4,-1.228646,vi
15,5,-1.975313,vr
15,5,3.700867,vi
15,6,-1.975313,vr
15,6,-3.700867,vi
15,7,-5.289605,vr
15,7,0.000000,vi
15,8,-4.663209,vr
15,8,0.000000,vi
15,9,-2.673796,vr
15,9,0.000000,vi
15,N/A,21.768458,t
15,0,11.337285,A
16,0,5.047753,vr
16,0,0.595110,vi
16,1,5.047753,vr
16,1,-0.595110,vi
16,2,0.356169,vr
16,2,4.661530,vi
16,3,0.356169,vr
16,3,-4.661530,vi
16,4,-0.960109,vr
16,4,4.630805,vi
16,5,-0.960109,vr
16,5,-4.630805,vi
16,6,-4.846491,vr
16,6,0.000000,vi
16,7,-4.243650,vr
16,7,0.000000,vi
16,8,-2.545509,vr
16,8,0.000000,vi
16,9,-0.446246,vr
16,9,0.000000,vi
16,N/A,23.021932,t
16,0,6.135524,A
17,0,4.991237,vr
17,0,0.417119,vi
17,1,4.991237,vr
17,1,-0.417119,vi
17,2,0.127240,vr
17,2,5.032228,vi
17,3,0.127240,vr
17,3,-5.032228,vi
17,4,2.153049,vr
17,4,0.000000,vi
17,5,-5.187600,vr
17,5,0.000000,vi
17,6,-2.121404,vr
17,6,3.937833,vi
17,7,-2.121404,vr
17,7,-3.937833,vi
17,8,-1.901470,vr
17,8,2.108274,vi
17,9,-1.901470,vr
17,9,-2.108274,vi
17,N/A,24.273242,t
17,0,4.005913,A
18,0,0.659118,vr
18,0,5.111380,vi
18,1,0.659118,vr
18,1,-5.111380,vi
18,2,-5.503775,vr
18,2,0.000000,vi
18,3,-1.516162,vr
18,3,3.744603,vi
18,4,-1.516162,vr
18,4,-3.744603,vi
18,5,-2.983418,vr
18,5,1.237338,vi
18,6,-2.983418,vr
18,6,-1.237338,vi
18,7,4.827584,vr
18,7,0.947872,vi
18,8,4.827584,vr
18,8,-0.947872,vi
18,9,3.133528,vr
18,9,0.000000,vi
18,N/A,25.583282,t
18,0,13.408485,A
19,0,0.390512,vr
19,0,5.289986,vi
19,1,0.390512,vr
19,1,-5.289986,vi
19,2,4.716456,vr
19,2,0.872924,vi
19,3,4.716456,vr
19,3,-0.872924,vi
19,4,2.196041,vr
19,4,0.000000,vi
19,5,-1.237035,vr
19,5,3.843507,vi
19,6,-1.237035,vr
19,6,-3.843507,vi
19,7,-5.143463,vr
19,7,0.000000,vi
19,8,-2.898929,vr
19,8,1.056982,vi
19,9,-2.898929,vr
19,9,-1.056982,vi
19,N/A,27.093988,t
19,0,50.033892,A
20,0,4.743299,vr
20,0,2.109993,vi
20,1,4.743299,vr
20,1,-2.109993,vi
20,2,4.612680,vr
20,2,0.000000,vi
20,3,0.864167,vr
20,3,5.105610,vi
20,4,0.864167,vr
20,4,-5.105610,vi
20,5,-1.449777,vr
20,5,3.837115,vi
20,6,-1.449777,vr
20,6,-3.837115,vi
20,7,-5.698862,vr
20,7,0.000000,vi
20,8,-2.699071,vr
20,8,0.605137,vi
20,9,-2.699071,vr
20,9,-0.605137,vi
20,N/A,28.422445,t
20,0,1.928212,A
21,0,4.843309,vr
21,0,0.901371,vi
21,1,4.843309,vr
21,1,-0.901371,vi
21,2,0.837769,vr
21,2,4.971565,vi
21,3,0.837769,vr
21,3,-4.971565,vi
21,4,2.161681,vr
21,4,0.000000,vi
21,5,-2.040395,vr
21,5,3.866469,vi
21,6,-2.040395,vr
21,6,-3.866469,vi
21,7,-5.371936,vr
21,7,0.000000,vi
21,8,-3.059787,vr
21,8,1.378183,vi
21,9,-3.059787,vr
21,9,-1.378183,vi
21,N/A,33.926595,t
21,0,1.270727,A
22,0,5.059231,vr
22,0,1.142014,vi
22,1,5.059231,vr
22,1,-1.142014,vi
22,2,0.397264,vr
22,2,4.997328,vi
22,3,0.397264,vr
22,3,-4.997328,vi
22,4,-0.953623,vr
22,4,5.044562,vi
22,5,-0.953623,vr
22,5,-5.044562,vi
22,6,1.770018,vr
22,6,0.000000,vi
22,7,-5.486466,vr
22,7,0.000000,vi
22,8,-3.227633,vr
22,8,0.000000,vi
22,9,-1.762833,vr
22,9,0.000000,vi
22,N/A,35.289728,t
22,0,7.280724,A
23,0,0.458860,vr
23,0,5.316728,vi
23,1,0.458860,vr
23,1,-5.316728,vi
23,2,-5.545521,vr
23,2,0.000000,vi
23,3,-1.853350,vr
23,3,4.060575,vi
23,4,-1.853350,vr
23,4,-4.060575,vi
23,5,-2.683751,vr
23,5,1.515367,vi
23,6,-2.683751,vr
23,6,-1.515367,vi
23,7,5.104860,vr
23,7,0.847619,vi
23,8,5.104860,vr
23,8,-0.847619,vi
23,9,2.425550,vr
23,9,0.000000,vi
23,N/A,36.540127,t
23,0,20.511528,A
24,0,-5.106130,vr
24,0,0.217418,vi
24,1,-5.106130,vr
24,1,-0.217418,vi
24,2,0.349118,vr
24,2,5.141266,vi
24,3,0.349118,vr
24,3,-5.141266,vi
24,4,-1.036169,vr
24,4,4.207507,vi
24,5,-1.036169,vr
24,5,-4.207507,vi
24,6,-0.412237,vr
24,6,0.000000,vi
24,7,5.398360,vr
24,7,0.667876,vi
24,8,5.398360,vr
24,8,-0.667876,vi
24,9,3.330777,vr
24,9,0.000000,vi
24,N/A,37.942669,t
24,0,0.576924,A
25,0,-5.516131,vr
25,0,0.000000,vi
25,1,5.319518,vr
25,1,1.064299,vi
