iteration, eigindex, value, type
0,N/A,0,t
0,0,2099730.231693,A
1,0,3.681121,vr
1,0,0.000000,vi
1,1,2.129587,vr
1,1,0.000000,vi
1,2,-1.082162,vr
1,2,0.763596,vi
1,3,-1.082162,vr
1,3,-0.763596,vi
1,4,-0.538521,vr
1,4,0.951328,vi
1,5,-0.538521,vr
1,5,-0.951328,vi
1,6,0.543114,vr
1,6,0.412510,vi
1,7,0.543114,vr
1,7,-0.412510,vi
1,8,0.557160,vr
1,8,0.000000,vi
1,9,-0.356247,vr
1,9,0.000000,vi
1,N/A,1.130505,t
1,0,6.724539,A
2,0,0.999598,vr
2,0,3.631383,vi
2,1,0.999598,vr
2,1,-3.631383,vi
2,2,-1.601931,vr
2,2,0.612318,vi
2,3,-1.601931,vr
2,3,-0.612318,vi
2,4,0.758406,vr
2,4,0.927064,vi
2,5,0.758406,vr
2,5,-0.927064,vi
2,6,0.504383,vr
2,6,0.285010,vi
2,7,0.504383,vr
2,7,-0.285010,vi
2,8,-0.501189,vr
2,8,0.263451,vi
2,9,-0.501189,vr
2,9,-0.263451,vi
2,N/A,1.717418,t
2,0,20.025642,A
3,0,-5.860917,vr
3,0,0.000000,vi
3,1,2.903999,vr
3,1,0.000000,vi
3,2,0.598148,vr
3,2,1.964776,vi
3,3,0.598148,vr
3,3,-1.964776,vi
3,4,1.058070,vr
3,4,0.837293,vi
3,5,1.058070,vr
3,5,-0.837293,vi
3,6,-0.957727,vr
3,6,0.211639,vi
3,7,-0.957727,vr
3,7,-0.211639,vi
3,8,0.165901,vr
3,8,0.415632,vi
3,9,0.165901,vr
3,9,-0.415632,vi
3,N/A,2.439321,t
3,0,14.247100,A
4,0,-0.347072,vr
4,0,4.032588,vi
4,1,-0.347072,vr
4,1,-4.032588,vi
4,2,-3.131092,vr
4,2,0.000000,vi
4,3,3.098247,vr
4,3,0.555842,vi
4,4,3.098247,vr
4,4,-0.555842,vi
4,5,-1.694833,vr
4,5,0.000000,vi
4,6,1.265199,vr
4,6,0.000000,vi
4,7,-0.295783,vr
4,7,0.000000,vi
4,8,0.182881,vr
