iteration, eigindex, value, type
0,N/A,0,t
0,0,1076.329427,A
1,0,0.250285,vr
1,0,0.000000,vi
1,1,0.359500,vr
1,1,0.000000,vi
1,2,0.859722,vr
1,2,0.000000,vi
1,3,1.415655,vr
1,3,0.000000,vi
1,4,2.466464,vr
1,4,0.000000,vi
1,5,3.715688,vr
1,5,0.000000,vi
1,6,3.955917,vr
1,6,0.000000,vi
1,7,4.433395,vr
1,7,0.223887,vi
1,8,4.433395,vr
1,8,-0.223887,vi
1,9,4.523551,vr
1,9,0.553998,vi
1,10,4.523551,vr
1,10,-0.553998,vi
1,11,9.268640,vr
1,11,0.866353,vi
1,12,9.268640,vr
1,12,-0.866353,vi
1,13,8.864647,vr
1,13,1.373618,vi
1,14,8.864647,vr
1,14,-1.373618,vi
1,15,9.297385,vr
1,15,0.000000,vi
1,16,9.244486,vr
1,16,0.000000,vi
1,17,8.872885,vr
1,17,1.089818,vi
1,18,8.872885,vr
1,18,-1.089818,vi
1,19,8.539073,vr
1,19,1.454951,vi
1,20,8.539073,vr
1,20,-1.454951,vi
1,21,9.043509,vr
1,21,0.295215,vi
1,22,9.043509,vr
1,22,-0.295215,vi
1,23,8.971510,vr
1,23,0.575528,vi
1,24,8.971510,vr
1,24,-0.575528,vi
1,25,5.529521,vr
1,25,1.361197,vi
1,26,5.529521,vr
1,26,-1.361197,vi
1,27,5.015631,vr
1,27,0.665163,vi
1,28,5.015631,vr
1,28,-0.665163,vi
1,29,4.992420,vr
1,29,0.350659,vi
1,30,4.992420,vr
1,30,-0.350659,vi
1,31,8.928177,vr
1,31,0.000000,vi
1,32,8.167649,vr
1,32,1.445747,vi
1,33,8.167649,vr
1,33,-1.445747,vi
1,34,6.524368,vr
1,34,1.795808,vi
1,35,6.524368,vr
1,35,-1.795808,vi
1,36,5.159591,vr
1,36,0.551124,vi
1,37,5.159591,vr
1,37,-0.551124,vi
1,38,8.710613,vr
1,38,0.701859,vi
1,39,8.710613,vr
1,39,-0.701859,vi
1,40,6.318285,vr
1,40,1.679435,vi
1,41,6.318285,vr
1,41,-1.679435,vi
1,42,5.452743,vr
1,42,1.011219,vi
1,43,5.452743,vr
1,43,-1.011219,vi
1,44,7.775073,vr
1,44,1.647713,vi
1,45,7.775073,vr
1,45,-1.647713,vi
1,46,8.548253,vr
1,46,0.830619,vi
1,47,8.548253,vr
1,47,-0.830619,vi
1,48,5.201844,vr
1,48,0.000000,vi
1,49,8.692883,vr
1,49,0.000000,vi
1,50,6.117404,vr
1,50,1.342886,vi
1,51,6.117404,vr
1,51,-1.342886,vi
1,52,7.029985,vr
1,52,1.618737,vi
1,53,7.029985,vr
1,53,-1.618737,vi
1,54,7.331564,vr
1,54,1.630753,vi
1,55,7.331564,vr
1,55,-1.630753,vi
1,56,7.242922,vr
1,56,1.602757,vi
1,57,7.242922,vr
1,57,-1.602757,vi
1,58,5.514903,vr
1,58,0.750266,vi
1,59,5.514903,vr
1,59,-0.750266,vi
1,60,7.647107,vr
1,60,1.429653,vi
1,61,7.647107,vr
1,61,-1.429653,vi
1,62,7.418309,vr
1,62,1.455270,vi
1,63,7.418309,vr
1,63,-1.455270,vi
1,64,6.676610,vr
1,64,1.386494,vi
1,65,6.676610,vr
1,65,-1.386494,vi
1,66,7.953131,vr
1,66,1.128862,vi
1,67,7.953131,vr
1,67,-1.128862,vi
1,68,5.934896,vr
1,68,1.042066,vi
1,69,5.934896,vr
1,69,-1.042066,vi
1,70,6.847389,vr
1,70,1.366652,vi
1,71,6.847389,vr
1,71,-1.366652,vi
1,72,8.090023,vr
1,72,0.931897,vi
1,73,8.090023,vr
1,73,-0.931897,vi
1,74,8.481551,vr
1,74,0.263657,vi
1,75,8.481551,vr
1,75,-0.263657,vi
1,76,5.588766,vr
1,76,0.364336,vi
1,77,5.588766,vr
1,77,-0.364336,vi
1,78,6.303186,vr
1,78,0.844634,vi
1,79,6.303186,vr
1,79,-0.844634,vi
1,80,7.323608,vr
1,80,0.976444,vi
1,81,7.323608,vr
1,81,-0.976444,vi
1,82,6.963602,vr
1,82,0.999107,vi
1,83,6.963602,vr
1,83,-0.999107,vi
1,84,8.211441,vr
1,84,0.000000,vi
1,85,5.613388,vr
1,85,0.000000,vi
1,86,6.115126,vr
1,86,0.428991,vi
1,87,6.115126,vr
1,87,-0.428991,vi
1,88,7.702529,vr
1,88,0.563722,vi
1,89,7.702529,vr
1,89,-0.563722,vi
1,90,5.827064,vr
1,90,0.000000,vi
1,91,7.895219,vr
1,91,0.000000,vi
1,92,6.020245,vr
1,92,0.045659,vi
1,93,6.020245,vr
1,93,-0.045659,vi
1,94,7.808473,vr
1,94,0.000000,vi
1,95,7.473088,vr
1,95,0.292781,vi
1,96,7.473088,vr
1,96,-0.292781,vi
1,97,7.374784,vr
1,97,0.198900,vi
1,98,7.374784,vr
1,98,-0.198900,vi
1,99,6.864679,vr
1,99,0.000000,vi
1,N/A,1.811056,t
1,0,0.111821,A
2,0,3.453453,vr
2,0,0.000000,vi
2,1,5.208465,vr
2,1,0.000000,vi
2,2,5.496779,vr
2,2,0.523896,vi
2,3,5.496779,vr
2,3,-0.523896,vi
2,4,5.546264,vr
2,4,0.183465,vi
2,5,5.546264,vr
2,5,-0.183465,vi
2,6,6.854947,vr
2,6,1.382788,vi
2,7,6.854947,vr
2,7,-1.382788,vi
2,8,5.812029,vr
2,8,0.138372,vi
2,9,5.812029,vr
2,9,-0.138372,vi
